underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
AAPL,2019-02-04,AAPL,2019-02-08,100.000,C,0.0000,0.0000,0.0000,0.0000,0,160,70.7500,94,71.1500,170.9100,170.9300,170.4848,170.9200,3.4473,0.9486,0.0016,-0.6813,0.0182,0.9958,15,71.0500,42,71.4000,171.2600,171.2700,0.0000,12,
AAPL,2019-02-04,AAPL,2019-02-08,100.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,421,0.0100,170.9100,170.9300,170.4848,170.9200,1.6149,-0.0006,0.0001,-0.0078,0.0004,-0.0012,0,0.0000,102,0.0100,171.2600,171.2700,0.0000,464,
AAPL,2019-02-04,AAPL,2019-02-08,105.000,C,0.0000,0.0000,0.0000,0.0000,0,233,65.8000,273,66.1500,170.9100,170.9300,170.4848,170.9200,3.0726,0.9495,0.0018,-0.5869,0.0179,1.0550,15,66.0500,138,66.5000,171.2600,171.2700,0.0000,10,
AAPL,2019-02-04,AAPL,2019-02-08,105.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,423,0.0100,170.9100,170.9300,170.4848,170.9200,1.4755,-0.0007,0.0001,-0.0078,0.0004,-0.0013,0,0.0000,92,0.0100,171.2600,171.2700,0.0000,115,
AAPL,2019-02-04,AAPL,2019-02-08,110.000,C,0.0000,0.0000,0.0000,0.0000,0,202,60.8000,253,61.1500,170.9100,170.9300,170.4848,170.9200,2.7208,0.9507,0.0020,-0.4959,0.0175,1.1147,10,61.1000,131,61.5000,171.2600,171.2700,0.0000,4,
AAPL,2019-02-04,AAPL,2019-02-08,110.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,559,0.0100,170.9100,170.9300,170.4848,170.9200,1.3441,-0.0007,0.0001,-0.0078,0.0005,-0.0015,0,0.0000,157,0.0100,171.2600,171.2700,0.0000,869,
AAPL,2019-02-04,AAPL,2019-02-08,115.000,C,56.0900,56.0900,56.0700,56.0700,4,193,55.8000,208,56.1000,170.9100,170.9300,170.4848,170.9200,2.3869,0.9526,0.0022,-0.4065,0.0170,1.1756,15,56.0500,109,56.4500,171.2600,171.2700,56.0800,2,
AAPL,2019-02-04,AAPL,2019-02-08,115.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,312,0.0100,170.9100,170.9300,170.4848,170.9200,1.2134,-0.0008,0.0001,-0.0075,0.0005,-0.0016,0,0.0000,34,0.0100,171.2600,171.2700,0.0000,327,
AAPL,2019-02-04,AAPL,2019-02-08,120.000,C,51.1300,51.1300,51.1100,51.1100,4,389,50.8000,308,51.1500,170.9100,170.9300,170.4848,170.9200,2.1057,0.9529,0.0025,-0.3456,0.0169,1.2325,15,51.0500,105,51.4000,171.2600,171.2700,51.1200,47,
AAPL,2019-02-04,AAPL,2019-02-08,120.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,272,0.0100,170.9100,170.9300,170.4848,170.9200,1.0899,-0.0009,0.0002,-0.0074,0.0005,-0.0017,0,0.0000,28,0.0100,171.2600,171.2700,0.0000,671,
AAPL,2019-02-04,AAPL,2019-02-08,125.000,C,46.1500,46.1500,46.1200,46.1200,4,195,45.8500,235,46.1000,170.9100,170.9300,170.4848,170.9200,1.8353,0.9536,0.0028,-0.2840,0.0167,1.2905,15,46.0500,52,46.4500,171.2600,171.2700,46.1375,19,
AAPL,2019-02-04,AAPL,2019-02-08,125.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,1093,0.0100,170.9100,170.9300,170.4848,170.9200,0.9732,-0.0010,0.0002,-0.0074,0.0006,-0.0020,0,0.0000,616,0.0100,171.2600,171.2700,0.0100,1629,
AAPL,2019-02-04,AAPL,2019-02-08,126.000,C,45.1600,45.1600,45.1200,45.1200,2,253,44.8000,286,45.1500,170.9100,170.9300,170.4848,170.9200,1.7838,0.9538,0.0029,-0.2726,0.0166,1.3019,16,45.0500,97,45.4500,171.2600,171.2700,45.1400,13,
AAPL,2019-02-04,AAPL,2019-02-08,126.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,442,0.0100,170.9100,170.9300,170.4848,170.9200,0.9487,-0.0010,0.0002,-0.0073,0.0006,-0.0020,0,0.0000,36,0.0100,171.2600,171.2700,0.0000,1,
AAPL,2019-02-04,AAPL,2019-02-08,127.000,C,0.0000,0.0000,0.0000,0.0000,0,211,43.8000,332,44.1500,170.9100,170.9300,170.4848,170.9200,1.7332,0.9539,0.0030,-0.2615,0.0166,1.3134,15,44.0500,20,44.3500,171.2600,171.2700,0.0000,0,
