Ticker,Name,Sector,Industry,MarketCap,EPS,PE,PS,BookMarket,DivRatio
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,2045077054.0,-0.46,-26.52,2.0,0.42,0.0
MMM,3M Company,Health Care,Medical/Dental Instruments,123317884925.0,7.64,25.57,3.53,0.09,5.24
EGHT,8x8 Inc,Technology,EDP Services,1816977159.0,-1.47,-11.86,6.35,0.14,0.0
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,96874088.0,0.33,13.41,0.45,,0.47
AOS,A.O Smith Corporation,Consumer Durables,Consumer Electronics/Appliances,1363485625.0,1.99,22.99,2.49,1.47,0.68
AIR,AAR Corp.,Capital Goods,Aerospace,1607087666.0,0.59,78.61,0.87,,0.3
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,3750083580.0,4.47,11.32,0.95,0.52,0.09
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,125574174349.0,0.5,139.75,4.07,0.25,1.11
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,143568194497.0,4.83,17.72,4.17,-0.02,3.29
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,1320313615.0,0.72,26.78,0.38,0.9,0.79
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,2114501073.0,1.3,24.71,0.33,0.69,0.7
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,2226601743.0,,,,0.9,
ACN,Accenture plc,Miscellaneous,Business Services,115526236010.0,6.46,24.36,2.38,0.1,2.72
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,1171762498.0,1.38,5.96,0.44,0.89,0.18
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,1669744136.0,-0.36,-68.54,1.25,0.37,0.04
AYI,"Acuity Brands, Inc. ",Consumer Durables,Building Products,5185361018.0,8.55,15.33,1.46,0.33,0.52
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,1430947115.0,1.69,5.12,0.4,2.04,0.85
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,12472320597.0,7.5,22.15,1.29,0.3,0.24
ACM,AECOM,Consumer Services,Military/Government/Technical,5218929317.0,0.86,35.1,0.24,0.91,0.0
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,2464320000.0,0.84,45.37,1.41,0.13,0.0
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,7135836655.0,13.1,8.66,2.54,0.89,0.0
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,35702711997.0,4.64,9.57,2.16,0.69,0.71
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,4812157961.0,2.92,20.33,0.51,0.64,0.59
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,22236672757.0,0.98,66.5,4.28,0.22,0.6
AL,Air Lease Corporation,Technology,Diversified Commercial Services,4698604507.0,8.13,4.34,2.25,1.19,0.37
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,37030739124.0,6.83,22.66,3.8,0.33,4.09
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,1522924551.0,-0.08,-44.96,0.17,0.38,0.0
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,1085124890.0,5.17,16.55,1.0,0.49,0.43
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,8042595966.0,6.5,10.78,1.05,0.44,1.26
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,11312781410.0,3.15,30.67,3.2,0.36,1.32
AA,Alcoa Corporation,Basic Industries,Aluminum,7842332757.0,-0.06,-517.0,0.47,1.17,0.0
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts,1490145470.0,,,,0.9,2.41
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,1766866976.0,7.97,39.99,6.98,0.18,17.75
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,12995465748.0,4.3,28.36,9.5,0.56,3.67
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,9544236592.0,59.44,10.4,1.28,0.95,10.11
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,3555816496.0,1.49,17.22,0.8,0.65,0.0
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,8391561471.0,3.28,27.26,3.2,0.07,0.81
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,58497406396.0,5.12,37.13,7.82,0.13,0.2
ALE,"Allete, Inc.",Public Utilities,Power Generation,3887485025.0,3.01,26.65,2.96,0.51,2.21
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,12605158647.0,17.19,11.33,1.37,0.22,2.23
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,,,,,0.51,
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,7137272253.0,5.18,8.91,2.37,0.11,0.6
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,35180516494.0,10.34,8.63,0.79,0.77,2.03
ALLY,Ally Financial Inc.,Finance,Major Banks,11511864444.0,,,,,0.54
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,117476685195.0,5.64,11.5,4.85,0.13,2.73
AEE,Ameren Corporation,Public Utilities,Power Generation,16021224687.0,2.85,24.59,2.72,0.46,
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,5618178422.0,,,,,
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,3836044699.0,1.58,12.42,0.86,0.37,0.53
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,35910246125.0,3.98,18.25,2.21,0.53,2.52
AXP,American Express Company,Finance,Finance: Consumer Services,92330847228.0,4.31,24.88,2.44,0.23,1.51
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,9853986404.0,8.17,12.62,1.26,0.56,4.85
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,6183339467.0,-0.06,-357.69,5.53,1.02,
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,47620720018.0,-6.69,-6.56,0.83,1.53,1.27
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,64269343106.0,2.68,60.25,10.04,0.1,2.97
AWK,American Water Works,Public Utilities,Water Supply,16071025310.0,2.53,36.41,4.83,0.36,1.74
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores,3670734803.0,,,,0.17,
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,21839425358.0,11.73,10.53,1.44,0.31,3.4
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,19597584814.0,7.61,11.68,0.12,0.16,1.53
APH,Amphenol Corporation,Capital Goods,Electrical Products,27187913912.0,2.52,35.06,3.38,0.15,0.8
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,18069426941.0,3.48,20.45,3.49,0.27,0.51
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,35471439614.0,2.89,19.01,2.2,0.4,0.79
AR,Antero Resources Corporation,Energy,Oil & Gas Production,5891463528.0,0.67,21.35,1.09,1.93,0.0
ANTM,"Anthem, Inc.",Health Care,Medical Specialities,72108550740.0,17.68,15.16,0.76,0.42,2.96
AON,Aon plc,Finance,Specialty Insurers,37737758943.0,3.11,50.19,3.54,0.12,1.52
